Airport,Date,Time Interval,Avg_time,Max_time,Passengers,temp,Flights
Ahmedabad Airport,,0830 - 0845,10,16,26,1.666666667,1
Ahmedabad Airport,,0845 - 0900,16,22,44,2.666666667,2
Ahmedabad Airport,,0900 - 0915,15,18,42,2.5,2
Ahmedabad Airport,,0915 - 0930,14,18,36,2.333333333,2
Ahmedabad Airport,,0930 - 0945,21,26,58,3.5,3
Ahmedabad Airport,,0945 - 1000,20,24,56,3.333333333,3
Ahmedabad Airport,,1000 - 1015,21,27,56,3.5,3
Ahmedabad Airport,,1015 - 1030,8,12,20,1.333333333,1
Ahmedabad Airport,,1030 - 1045,17,22,44,2.833333333,2
Ahmedabad Airport,,1045 - 1100,16,20,43,2.666666667,2
Ahmedabad Airport,,1100 - 1115,18,24,50,3,3
Ahmedabad Airport,,1115 - 1130,17,22,48,2.833333333,2
Ahmedabad Airport,,1130 - 1145,11,17,27,1.833333333,1
Ahmedabad Airport,,1145 - 1200,11,15,27,1.833333333,1
Ahmedabad Airport,,1200 - 1215,20,23,56,3.333333333,3
Ahmedabad Airport,,1215 - 1230,12,15,29,2,2
Ahmedabad Airport,,1230 - 1245,13,17,33,2.166666667,2
Ahmedabad Airport,,1245 - 1300,17,22,44,2.833333333,2
Ahmedabad Airport,,1300 - 1315,19,22,52,3.166666667,3
Ahmedabad Airport,,1315 - 1330,19,23,52,3.166666667,3
Ahmedabad Airport,,1330 - 1345,15,19,42,2.5,2
Ahmedabad Airport,,1345 - 1400,9,15,24,1.5,1
Ahmedabad Airport,,1400 - 1415,9,14,22,1.5,1
Ahmedabad Airport,,1415 - 1430,11,16,26,1.833333333,1
Ahmedabad Airport,,1430 - 1445,13,19,32,2.166666667,2
Ahmedabad Airport,,1445 - 1500,16,19,42,2.666666667,2
Ahmedabad Airport,,1500 - 1515,10,15,26,1.666666667,1
Ahmedabad Airport,,1515 - 1530,20,23,55,3.333333333,3
Ahmedabad Airport,,1530 - 1545,12,17,29,2,2
Ahmedabad Airport,,1545 - 1600,22,26,60,3.666666667,3
Ahmedabad Airport,,1600 - 1615,9,13,22,1.5,1
Ahmedabad Airport,,1615 - 1630,9,12,22,1.5,1
Ahmedabad Airport,,1630 - 1645,19,23,50,3.166666667,3
Ahmedabad Airport,,1645 - 1700,17,23,46,2.833333333,2
Ahmedabad Airport,,1700 - 1715,20,25,55,3.333333333,3
Ahmedabad Airport,,1715 - 1730,22,26,61,3.666666667,3
Ahmedabad Airport,,1730 - 1745,20,26,53,3.333333333,3
Ahmedabad Airport,,1745 - 1800,21,25,60,3.5,3
Ahmedabad Airport,,1800 - 1815,16,22,43,2.666666667,2
Ahmedabad Airport,,1815 - 1830,16,20,45,2.666666667,2
Ahmedabad Airport,,1830 - 1845,13,16,34,2.166666667,2
Ahmedabad Airport,,1845 - 1900,17,20,46,2.833333333,2
Ahmedabad Airport,,1900 - 1915,11,14,29,1.833333333,1
Ahmedabad Airport,,1915 - 1930,19,23,50,3.166666667,3
Ahmedabad Airport,,1930 - 1945,14,19,38,2.333333333,2
Ahmedabad Airport,,1945 - 2000,10,15,24,1.666666667,1
Ahmedabad Airport,,2000 - 2015,12,16,31,2,2
Ahmedabad Airport,,2015 - 2030,21,25,59,3.5,3
Ahmedabad Airport,,2030 - 2045,20,26,57,3.333333333,3
Ahmedabad Airport,,2045 - 2100,20,23,57,3.333333333,3
Ahmedabad Airport,,2100 - 2115,16,19,44,2.666666667,2
Ahmedabad Airport,,2115 - 2130,15,21,42,2.5,2
Ahmedabad Airport,,2130 - 2145,20,25,56,3.333333333,3
Ahmedabad Airport,,2145 - 2200,11,14,28,1.833333333,1
Ahmedabad Airport,,2200 - 2215,11,15,26,1.833333333,1
Ahmedabad Airport,,2215 - 2230,19,22,50,3.166666667,3
Ahmedabad Airport,,2230 - 2245,20,24,57,3.333333333,3
Ahmedabad Airport,,2245 - 2300,9,13,22,1.5,1
Ahmedabad Airport,,2300 - 2315,15,19,40,2.5,2
Ahmedabad Airport,,2315 - 2330,18,23,51,3,3
Ahmedabad Airport,,2330 - 2345,10,16,26,1.666666667,1
Ahmedabad Airport,,2345 - 2400,18,23,49,3,3
Ahmedabad Airport,,0000 - 0015,14,19,36,2.333333333,2
Ahmedabad Airport,,0015 - 0030,12,17,33,2,2
Ahmedabad Airport,,0030 - 0045,10,13,24,1.666666667,1
Ahmedabad Airport,,0045 - 0100,11,14,26,1.833333333,1
Ahmedabad Airport,,0100 - 0115,18,23,47,3,3
Ahmedabad Airport,,0115 - 0130,18,23,47,3,3
Ahmedabad Airport,,0130 - 0145,8,12,20,1.333333333,1
Ahmedabad Airport,,0145 - 0200,15,18,39,2.5,2
Ahmedabad Airport,,0200 - 0215,10,15,24,1.666666667,1
Ahmedabad Airport,,0215 - 0230,17,22,47,2.833333333,2
Ahmedabad Airport,,0230 - 0245,13,18,33,2.166666667,2
Ahmedabad Airport,,0245 - 0300,11,15,30,1.833333333,1
Ahmedabad Airport,,0300 - 0315,9,14,20,1.5,1
Ahmedabad Airport,,0315 - 0330,14,19,39,2.333333333,2
Ahmedabad Airport,,0330 - 0345,10,13,25,1.666666667,1
Ahmedabad Airport,,0345 - 0400,10,13,23,1.666666667,1
Ahmedabad Airport,,0400 - 0415,17,22,44,2.833333333,2
Ahmedabad Airport,,0415 - 0430,14,18,39,2.333333333,2
Ahmedabad Airport,,0430 - 0445,13,17,35,2.166666667,2
Ahmedabad Airport,,0445 - 0500,21,26,58,3.5,3
Ahmedabad Airport,,0500 - 0515,15,21,42,2.5,2
Ahmedabad Airport,,0515 - 0530,19,22,54,3.166666667,3
Ahmedabad Airport,,0530 - 0545,11,15,26,1.833333333,1
Ahmedabad Airport,,0545 - 0600,8,14,21,1.333333333,1
Ahmedabad Airport,,0600 - 0615,10,15,27,1.666666667,1
Ahmedabad Airport,,0615 - 0630,9,14,22,1.5,1
Ahmedabad Airport,,0630 - 0645,9,13,20,1.5,1
Ahmedabad Airport,,0645 - 0700,19,22,51,3.166666667,3
Ahmedabad Airport,,0700 - 0715,13,16,36,2.166666667,2
Ahmedabad Airport,,0715 - 0730,9,13,23,1.5,1
Ahmedabad Airport,,0730 - 0745,20,26,55,3.333333333,3
Ahmedabad Airport,,0745 - 0800,14,17,38,2.333333333,2
Ahmedabad Airport,,0800 - 0815,22,28,60,3.666666667,3
Ahmedabad Airport,,0815 - 0830,9,13,22,1.5,1
Ahmedabad Airport,,0830 - 0845,15,21,38,2.5,2
Ahmedabad Airport,,0845 - 0900,16,19,43,2.666666667,2
Ahmedabad Airport,,0900 - 0915,17,20,47,2.833333333,2
Ahmedabad Airport,,0915 - 0930,9,13,22,1.5,1
Ahmedabad Airport,,0930 - 0945,16,20,42,2.666666667,2
Ahmedabad Airport,,0945 - 1000,20,26,53,3.333333333,3
Ahmedabad Airport,,1000 - 1015,13,17,36,2.166666667,2
Ahmedabad Airport,,1015 - 1030,22,25,60,3.666666667,3
Ahmedabad Airport,,1030 - 1045,14,19,35,2.333333333,2
Ahmedabad Airport,,1045 - 1100,15,19,42,2.5,2
Ahmedabad Airport,,1100 - 1115,18,21,51,3,3
Ahmedabad Airport,,1115 - 1130,19,24,52,3.166666667,3
Ahmedabad Airport,,1130 - 1145,21,24,57,3.5,3
Ahmedabad Airport,,1145 - 1200,9,12,21,1.5,1
Ahmedabad Airport,,1200 - 1215,19,22,53,3.166666667,3
Ahmedabad Airport,,1215 - 1230,12,18,33,2,2
Ahmedabad Airport,,1230 - 1245,19,25,52,3.166666667,3
Ahmedabad Airport,,1245 - 1300,12,15,33,2,2
Ahmedabad Airport,,1300 - 1315,16,22,44,2.666666667,2
Ahmedabad Airport,,1315 - 1330,12,16,30,2,2
Ahmedabad Airport,,1330 - 1345,20,26,56,3.333333333,3
Ahmedabad Airport,,1345 - 1400,10,14,24,1.666666667,1
Ahmedabad Airport,,1400 - 1415,13,18,33,2.166666667,2
Ahmedabad Airport,,1415 - 1430,16,20,45,2.666666667,2
Ahmedabad Airport,,1430 - 1445,12,18,32,2,2
Ahmedabad Airport,,1445 - 1500,9,14,24,1.5,1
Ahmedabad Airport,,1500 - 1515,8,14,18,1.333333333,1
Ahmedabad Airport,,1515 - 1530,19,25,54,3.166666667,3
Ahmedabad Airport,,1530 - 1545,10,14,25,1.666666667,1
Ahmedabad Airport,,1545 - 1600,10,14,26,1.666666667,1
Ahmedabad Airport,,1600 - 1615,13,16,35,2.166666667,2
Ahmedabad Airport,,1615 - 1630,11,17,27,1.833333333,1
Ahmedabad Airport,,1630 - 1645,14,19,37,2.333333333,2
Ahmedabad Airport,,1645 - 1700,8,12,20,1.333333333,1
Ahmedabad Airport,,1700 - 1715,11,14,27,1.833333333,1
Ahmedabad Airport,,1715 - 1730,15,18,39,2.5,2
Ahmedabad Airport,,1730 - 1745,11,15,28,1.833333333,1
Ahmedabad Airport,,1745 - 1800,11,14,30,1.833333333,1
Ahmedabad Airport,,1800 - 1815,18,22,51,3,3
Ahmedabad Airport,,1815 - 1830,20,25,56,3.333333333,3
Ahmedabad Airport,,1830 - 1845,12,15,29,2,2
Ahmedabad Airport,,1845 - 1900,16,22,41,2.666666667,2
Ahmedabad Airport,,1900 - 1915,21,24,56,3.5,3
Ahmedabad Airport,,1915 - 1930,9,15,20,1.5,1
Ahmedabad Airport,,1930 - 1945,10,13,24,1.666666667,1
Ahmedabad Airport,,1945 - 2000,19,24,54,3.166666667,3
Ahmedabad Airport,,2000 - 2015,14,17,38,2.333333333,2
Ahmedabad Airport,,2015 - 2030,15,20,40,2.5,2
Ahmedabad Airport,,2030 - 2045,10,15,24,1.666666667,1
Ahmedabad Airport,,2045 - 2100,10,15,23,1.666666667,1
Ahmedabad Airport,,2100 - 2115,20,23,53,3.333333333,3
Ahmedabad Airport,,2115 - 2130,11,16,29,1.833333333,1
Ahmedabad Airport,,2130 - 2145,21,24,60,3.5,3
Ahmedabad Airport,,2145 - 2200,8,12,17,1.333333333,1
Ahmedabad Airport,,2200 - 2215,11,16,28,1.833333333,1
Ahmedabad Airport,,2215 - 2230,22,25,60,3.666666667,3
Ahmedabad Airport,,2230 - 2245,19,22,51,3.166666667,3
Ahmedabad Airport,,2245 - 2300,16,22,41,2.666666667,2
Ahmedabad Airport,,2300 - 2315,10,14,25,1.666666667,1
Ahmedabad Airport,,2315 - 2330,14,17,37,2.333333333,2
Ahmedabad Airport,,2330 - 2345,20,26,56,3.333333333,3
Ahmedabad Airport,,2345 - 2400,19,23,50,3.166666667,3
Ahmedabad Airport,,0000 - 0015,9,15,20,1.5,1
Ahmedabad Airport,,0015 - 0030,11,16,26,1.833333333,1
Ahmedabad Airport,,0030 - 0045,12,17,31,2,2
Ahmedabad Airport,,0045 - 0100,10,16,25,1.666666667,1
Ahmedabad Airport,,0100 - 0115,13,18,32,2.166666667,2
Ahmedabad Airport,,0115 - 0130,12,18,33,2,2
Ahmedabad Airport,,0130 - 0145,10,15,27,1.666666667,1
Ahmedabad Airport,,0145 - 0200,17,23,44,2.833333333,2
Ahmedabad Airport,,0200 - 0215,12,17,33,2,2
Ahmedabad Airport,,0215 - 0230,14,19,39,2.333333333,2
Ahmedabad Airport,,0230 - 0245,13,16,32,2.166666667,2
Ahmedabad Airport,,0245 - 0300,9,14,21,1.5,1
Ahmedabad Airport,,0300 - 0315,18,23,49,3,3
Ahmedabad Airport,,0315 - 0330,9,13,23,1.5,1
Ahmedabad Airport,,0330 - 0345,9,13,21,1.5,1
Ahmedabad Airport,,0345 - 0400,16,20,45,2.666666667,2
Ahmedabad Airport,,0400 - 0415,21,25,58,3.5,3
Ahmedabad Airport,,0415 - 0430,10,14,26,1.666666667,1
Ahmedabad Airport,,0430 - 0445,13,16,32,2.166666667,2
Ahmedabad Airport,,0445 - 0500,8,12,18,1.333333333,1
Ahmedabad Airport,,0500 - 0515,22,25,60,3.666666667,3
Ahmedabad Airport,,0515 - 0530,18,21,48,3,3
Ahmedabad Airport,,0530 - 0545,18,23,48,3,3
Ahmedabad Airport,,0545 - 0600,12,17,29,2,2
Ahmedabad Airport,,0600 - 0615,10,16,23,1.666666667,1
Ahmedabad Airport,,0615 - 0630,15,18,38,2.5,2
Ahmedabad Airport,,0630 - 0645,21,24,59,3.5,3
Ahmedabad Airport,,0645 - 0700,21,26,56,3.5,3
Ahmedabad Airport,,0700 - 0715,11,17,27,1.833333333,1
Ahmedabad Airport,,0715 - 0730,15,19,38,2.5,2
Ahmedabad Airport,,0730 - 0745,19,24,51,3.166666667,3
Ahmedabad Airport,,0745 - 0800,21,27,59,3.5,3
Ahmedabad Airport,,0800 - 0815,14,19,35,2.333333333,2
Ahmedabad Airport,,0815 - 0830,8,12,18,1.333333333,1
Ahmedabad Airport,,0830 - 0845,16,20,45,2.666666667,2
Ahmedabad Airport,,0845 - 0900,16,19,43,2.666666667,2
Ahmedabad Airport,,0900 - 0915,16,22,45,2.666666667,2
Ahmedabad Airport,,0915 - 0930,21,24,57,3.5,3
Ahmedabad Airport,,0930 - 0945,21,24,58,3.5,3
Ahmedabad Airport,,0945 - 1000,9,12,20,1.5,1
Ahmedabad Airport,,1000 - 1015,22,28,63,3.666666667,3
Ahmedabad Airport,,1015 - 1030,11,15,28,1.833333333,1
Ahmedabad Airport,,1030 - 1045,22,26,63,3.666666667,3
Ahmedabad Airport,,1045 - 1100,10,13,26,1.666666667,1
Ahmedabad Airport,,1100 - 1115,16,21,42,2.666666667,2
Ahmedabad Airport,,1115 - 1130,15,21,42,2.5,2
Ahmedabad Airport,,1130 - 1145,14,18,38,2.333333333,2
Ahmedabad Airport,,1145 - 1200,11,15,29,1.833333333,1
Ahmedabad Airport,,1200 - 1215,11,15,29,1.833333333,1
Ahmedabad Airport,,1215 - 1230,13,17,34,2.166666667,2
Ahmedabad Airport,,1230 - 1245,16,21,44,2.666666667,2
Ahmedabad Airport,,1245 - 1300,14,19,39,2.333333333,2
Ahmedabad Airport,,1300 - 1315,16,20,44,2.666666667,2
Ahmedabad Airport,,1315 - 1330,22,25,59,3.666666667,3
Ahmedabad Airport,,1330 - 1345,17,23,45,2.833333333,2
Ahmedabad Airport,,1345 - 1400,13,18,33,2.166666667,2
Ahmedabad Airport,,1400 - 1415,18,24,50,3,3
Ahmedabad Airport,,1415 - 1430,16,22,44,2.666666667,2
Ahmedabad Airport,,1430 - 1445,15,20,39,2.5,2
Ahmedabad Airport,,1445 - 1500,9,13,23,1.5,1
Ahmedabad Airport,,1500 - 1515,17,22,47,2.833333333,2
Ahmedabad Airport,,1515 - 1530,13,16,36,2.166666667,2
Ahmedabad Airport,,1530 - 1545,9,14,23,1.5,1
Ahmedabad Airport,,1545 - 1600,16,22,41,2.666666667,2
Ahmedabad Airport,,1600 - 1615,22,27,62,3.666666667,3
Ahmedabad Airport,,1615 - 1630,20,25,53,3.333333333,3
Ahmedabad Airport,,1630 - 1645,9,15,24,1.5,1
Ahmedabad Airport,,1645 - 1700,9,13,20,1.5,1
Ahmedabad Airport,,1700 - 1715,13,19,32,2.166666667,2
Ahmedabad Airport,,1715 - 1730,15,20,40,2.5,2
Ahmedabad Airport,,1730 - 1745,22,28,61,3.666666667,3
Ahmedabad Airport,,1745 - 1800,14,18,36,2.333333333,2
Ahmedabad Airport,,1800 - 1815,11,14,30,1.833333333,1
Ahmedabad Airport,,1815 - 1830,12,17,31,2,2
Ahmedabad Airport,,1830 - 1845,19,23,54,3.166666667,3
Ahmedabad Airport,,1845 - 1900,15,21,42,2.5,2
Ahmedabad Airport,,1900 - 1915,17,23,44,2.833333333,2
Ahmedabad Airport,,1915 - 1930,9,14,21,1.5,1
Ahmedabad Airport,,1930 - 1945,9,14,20,1.5,1
Ahmedabad Airport,,1945 - 2000,9,13,20,1.5,1
Ahmedabad Airport,,2000 - 2015,14,19,39,2.333333333,2
Ahmedabad Airport,,2015 - 2030,14,18,39,2.333333333,2
Ahmedabad Airport,,2030 - 2045,13,19,34,2.166666667,2
Ahmedabad Airport,,2045 - 2100,22,26,60,3.666666667,3
Ahmedabad Airport,,2100 - 2115,9,13,21,1.5,1
Ahmedabad Airport,,2115 - 2130,21,26,56,3.5,3
Ahmedabad Airport,,2130 - 2145,13,17,32,2.166666667,2
Ahmedabad Airport,,2145 - 2200,17,21,47,2.833333333,2
Ahmedabad Airport,,2200 - 2215,11,17,28,1.833333333,1
Ahmedabad Airport,,2215 - 2230,12,16,29,2,2
Ahmedabad Airport,,2230 - 2245,8,11,21,1.333333333,1
Ahmedabad Airport,,2245 - 2300,19,25,53,3.166666667,3
Ahmedabad Airport,,2300 - 2315,11,14,29,1.833333333,1
Ahmedabad Airport,,2315 - 2330,20,25,56,3.333333333,3
Ahmedabad Airport,,2330 - 2345,10,16,26,1.666666667,1
Ahmedabad Airport,,2345 - 2400,19,22,53,3.166666667,3
Ahmedabad Airport,,0000 - 0015,21,24,56,3.5,3
Ahmedabad Airport,,0015 - 0030,17,21,44,2.833333333,2
Ahmedabad Airport,,0030 - 0045,18,23,50,3,3
Ahmedabad Airport,,0045 - 0100,19,23,54,3.166666667,3
Ahmedabad Airport,,0100 - 0115,17,21,45,2.833333333,2
Ahmedabad Airport,,0115 - 0130,18,23,50,3,3
Ahmedabad Airport,,0130 - 0145,10,15,25,1.666666667,1
Ahmedabad Airport,,0145 - 0200,12,17,32,2,2
Ahmedabad Airport,,0200 - 0215,20,26,56,3.333333333,3
Ahmedabad Airport,,0215 - 0230,17,21,47,2.833333333,2
Ahmedabad Airport,,0230 - 0245,18,21,51,3,3
Ahmedabad Airport,,0245 - 0300,10,15,24,1.666666667,1
Ahmedabad Airport,,0300 - 0315,14,17,38,2.333333333,2
Ahmedabad Airport,,0315 - 0330,9,14,21,1.5,1
Ahmedabad Airport,,0330 - 0345,17,23,47,2.833333333,2
Ahmedabad Airport,,0345 - 0400,10,13,23,1.666666667,1
Ahmedabad Airport,,0400 - 0415,20,24,54,3.333333333,3
Ahmedabad Airport,,0415 - 0430,14,19,36,2.333333333,2
Ahmedabad Airport,,0430 - 0445,19,22,51,3.166666667,3
Ahmedabad Airport,,0445 - 0500,9,15,20,1.5,1
Ahmedabad Airport,,0500 - 0515,19,22,52,3.166666667,3
Ahmedabad Airport,,0515 - 0530,18,22,48,3,3
Ahmedabad Airport,,0530 - 0545,16,19,41,2.666666667,2
Ahmedabad Airport,,0545 - 0600,13,17,35,2.166666667,2
Ahmedabad Airport,,0600 - 0615,8,13,21,1.333333333,1
Ahmedabad Airport,,0615 - 0630,15,19,42,2.5,2
Ahmedabad Airport,,0630 - 0645,14,20,36,2.333333333,2
Ahmedabad Airport,,0645 - 0700,14,17,39,2.333333333,2
Ahmedabad Airport,,0700 - 0715,17,23,45,2.833333333,2
Ahmedabad Airport,,0715 - 0730,22,27,59,3.666666667,3
Ahmedabad Airport,,0730 - 0745,20,26,54,3.333333333,3
Ahmedabad Airport,,0745 - 0800,16,22,41,2.666666667,2
Ahmedabad Airport,,0800 - 0815,14,19,35,2.333333333,2
Ahmedabad Airport,,0815 - 0830,19,23,51,3.166666667,3
Ahmedabad Airport,,0830 - 0845,15,20,42,2.5,2
Ahmedabad Airport,,0845 - 0900,12,15,29,2,2
Ahmedabad Airport,,0900 - 0915,13,19,35,2.166666667,2
Ahmedabad Airport,,0915 - 0930,19,23,54,3.166666667,3
Ahmedabad Airport,,0930 - 0945,13,17,35,2.166666667,2
Ahmedabad Airport,,0945 - 1000,16,21,43,2.666666667,2
Ahmedabad Airport,,1000 - 1015,11,17,29,1.833333333,1
Ahmedabad Airport,,1015 - 1030,16,19,41,2.666666667,2
Ahmedabad Airport,,1030 - 1045,18,22,50,3,3
Ahmedabad Airport,,1045 - 1100,15,20,38,2.5,2
Ahmedabad Airport,,1100 - 1115,13,17,34,2.166666667,2
Ahmedabad Airport,,1115 - 1130,11,17,29,1.833333333,1
Ahmedabad Airport,,1130 - 1145,18,24,49,3,3
Ahmedabad Airport,,1145 - 1200,18,22,51,3,3
Ahmedabad Airport,,1200 - 1215,13,17,32,2.166666667,2
Ahmedabad Airport,,1215 - 1230,16,21,42,2.666666667,2
Ahmedabad Airport,,1230 - 1245,12,15,30,2,2
Ahmedabad Airport,,1245 - 1300,20,24,55,3.333333333,3
Ahmedabad Airport,,1300 - 1315,17,21,48,2.833333333,2
Ahmedabad Airport,,1315 - 1330,9,12,20,1.5,1
Ahmedabad Airport,,1330 - 1345,15,20,42,2.5,2
Ahmedabad Airport,,1345 - 1400,17,23,48,2.833333333,2
Ahmedabad Airport,,1400 - 1415,17,22,47,2.833333333,2
Ahmedabad Airport,,1415 - 1430,9,13,23,1.5,1
Ahmedabad Airport,,1430 - 1445,8,11,18,1.333333333,1
Ahmedabad Airport,,1445 - 1500,9,13,20,1.5,1
Ahmedabad Airport,,1500 - 1515,8,14,20,1.333333333,1
Ahmedabad Airport,,1515 - 1530,21,27,60,3.5,3
Ahmedabad Airport,,1530 - 1545,11,15,26,1.833333333,1
Ahmedabad Airport,,1545 - 1600,12,16,33,2,2
Ahmedabad Airport,,1600 - 1615,20,24,54,3.333333333,3
Ahmedabad Airport,,1615 - 1630,13,18,33,2.166666667,2
Ahmedabad Airport,,1630 - 1645,13,18,32,2.166666667,2
Ahmedabad Airport,,1645 - 1700,10,15,27,1.666666667,1
Ahmedabad Airport,,1700 - 1715,14,20,36,2.333333333,2
Ahmedabad Airport,,1715 - 1730,12,18,30,2,2
Ahmedabad Airport,,1730 - 1745,12,18,33,2,2
Ahmedabad Airport,,1745 - 1800,9,13,24,1.5,1
Ahmedabad Airport,,1800 - 1815,18,23,50,3,3
Ahmedabad Airport,,1815 - 1830,12,16,32,2,2
Ahmedabad Airport,,1830 - 1845,22,25,62,3.666666667,3
Ahmedabad Airport,,1845 - 1900,11,17,30,1.833333333,1
Ahmedabad Airport,,1900 - 1915,8,11,17,1.333333333,1
Ahmedabad Airport,,1915 - 1930,16,22,41,2.666666667,2
Ahmedabad Airport,,1930 - 1945,13,19,36,2.166666667,2
Ahmedabad Airport,,1945 - 2000,16,22,41,2.666666667,2
Ahmedabad Airport,,2000 - 2015,19,23,52,3.166666667,3
Ahmedabad Airport,,2015 - 2030,9,15,20,1.5,1
Ahmedabad Airport,,2030 - 2045,16,22,42,2.666666667,2
Ahmedabad Airport,,2045 - 2100,13,19,32,2.166666667,2
Ahmedabad Airport,,2100 - 2115,11,16,28,1.833333333,1
Ahmedabad Airport,,2115 - 2130,17,20,46,2.833333333,2
Ahmedabad Airport,,2130 - 2145,22,26,63,3.666666667,3
Ahmedabad Airport,,2145 - 2200,17,22,45,2.833333333,2
Ahmedabad Airport,,2200 - 2215,17,22,48,2.833333333,2
Ahmedabad Airport,,2215 - 2230,19,24,50,3.166666667,3
Ahmedabad Airport,,2230 - 2245,19,25,53,3.166666667,3
Ahmedabad Airport,,2245 - 2300,11,17,29,1.833333333,1
Ahmedabad Airport,,2300 - 2315,12,17,32,2,2
Ahmedabad Airport,,2315 - 2330,18,21,50,3,3
Ahmedabad Airport,,2330 - 2345,14,19,39,2.333333333,2
Ahmedabad Airport,,2345 - 2400,17,22,44,2.833333333,2
Ahmedabad Airport,,0000 - 0015,11,14,27,1.833333333,1
Ahmedabad Airport,,0015 - 0030,17,21,46,2.833333333,2
Ahmedabad Airport,,0030 - 0045,17,22,45,2.833333333,2
Ahmedabad Airport,,0045 - 0100,15,18,39,2.5,2
Ahmedabad Airport,,0100 - 0115,14,18,37,2.333333333,2
Ahmedabad Airport,,0115 - 0130,17,23,48,2.833333333,2
Ahmedabad Airport,,0130 - 0145,15,21,38,2.5,2
Ahmedabad Airport,,0145 - 0200,15,18,39,2.5,2
Ahmedabad Airport,,0200 - 0215,9,13,21,1.5,1
Ahmedabad Airport,,0215 - 0230,12,15,29,2,2
Ahmedabad Airport,,0230 - 0245,16,19,43,2.666666667,2
Ahmedabad Airport,,0245 - 0300,21,27,58,3.5,3
Ahmedabad Airport,,0300 - 0315,17,22,46,2.833333333,2
Ahmedabad Airport,,0315 - 0330,12,17,33,2,2
Ahmedabad Airport,,0330 - 0345,20,26,53,3.333333333,3
Ahmedabad Airport,,0345 - 0400,19,22,50,3.166666667,3
Ahmedabad Airport,,0400 - 0415,22,28,62,3.666666667,3
Ahmedabad Airport,,0415 - 0430,15,18,38,2.5,2
Ahmedabad Airport,,0430 - 0445,10,15,24,1.666666667,1
Ahmedabad Airport,,0445 - 0500,11,16,26,1.833333333,1
Ahmedabad Airport,,0500 - 0515,17,21,45,2.833333333,2
Ahmedabad Airport,,0515 - 0530,17,21,47,2.833333333,2
Ahmedabad Airport,,0530 - 0545,18,21,47,3,3
Ahmedabad Airport,,0545 - 0600,14,17,37,2.333333333,2
Ahmedabad Airport,,0600 - 0615,9,15,24,1.5,1
Ahmedabad Airport,,0615 - 0630,11,14,30,1.833333333,1
Ahmedabad Airport,,0630 - 0645,12,18,32,2,2
Ahmedabad Airport,,0645 - 0700,16,19,45,2.666666667,2
Ahmedabad Airport,,0700 - 0715,12,16,31,2,2
Ahmedabad Airport,,0715 - 0730,18,24,49,3,3
Ahmedabad Airport,,0730 - 0745,21,27,58,3.5,3
Ahmedabad Airport,,0745 - 0800,16,19,45,2.666666667,2
Ahmedabad Airport,,0800 - 0815,21,26,56,3.5,3
Ahmedabad Airport,,0815 - 0830,12,16,32,2,2
Ahmedabad Airport,,0830 - 0845,18,24,48,3,3
Ahmedabad Airport,,0845 - 0900,10,13,25,1.666666667,1
Ahmedabad Airport,,0900 - 0915,15,18,42,2.5,2
